cell,task,mean_r2,std_r2,n_folds
A1,age,0.5367192178716307,0.04912134422922533,50
A2,vwm,0.05018554802084863,0.0718567647994394,50
A3,vwm,0.2142754755633119,0.08396540291363058,50
A4,age,0.04338048372490194,0.10523817651757424,50
A5,vwm,0.05562404531937774,0.045699893540371225,50
B1,vwm,0.07719320304285697,0.04733206837700643,50
B2,vwm,0.031320123849510245,0.029435671896581982,50
B3,vwm,0.19099239626486741,0.06693057518024342,50
B4,vwm,0.1356835287122443,0.05283544056873769,50
C1,vwm,0.2443696323779157,0.0652277311230041,50
C2,vwm,0.22278868229145005,0.06504415759050183,50
